# path|policy_unicode_count|emoji_count
references/building/accessibility-deep-dive.md|110|0
references/building/agent-safety.md|87|0
references/building/ai-product-patterns.md|49|0
references/building/analytics-and-telemetry.md|862|0
references/building/animation-and-motion.md|55|0
references/building/api-and-integrations.md|15|0
references/building/audit-mode.md|95|0
references/building/auth-and-rbac.md|199|0
references/building/ci-cd-workflows.md|10|0
references/building/codebase-research.md|61|0
references/building/community-standards.md|29|0
references/building/dark-mode-deep-dive.md|27|0
references/building/data-layer.md|88|0
references/building/data-visualization.md|274|0
references/building/domain-considerations.md|111|0
references/building/domains/domain-agriculture-farm.md|6|0
references/building/domains/domain-ai-ml-chat.md|13|0
references/building/domains/domain-cms-content.md|7|0
references/building/domains/domain-construction-field-services.md|13|0
references/building/domains/domain-coworking-space.md|15|0
references/building/domains/domain-customer-support.md|7|0
references/building/domains/domain-cybersecurity-soc.md|13|0
references/building/domains/domain-ecommerce-retail.md|8|0
references/building/domains/domain-education-lms.md|6|0
references/building/domains/domain-energy-utilities.md|5|0
references/building/domains/domain-entertainment-events.md|10|0
references/building/domains/domain-financial-fintech-accounting.md|8|0
references/building/domains/domain-gaming-esports.md|14|0
references/building/domains/domain-government-public-sector.md|6|0
references/building/domains/domain-healthcare-medical.md|6|0
references/building/domains/domain-hr-payroll.md|6|0
references/building/domains/domain-insurance-insurtech.md|6|0
references/building/domains/domain-iot-device-management.md|7|0
references/building/domains/domain-legal-law-firm.md|7|0
references/building/domains/domain-logistics-fleet.md|6|0
references/building/domains/domain-marketing-crm-sales.md|17|0
references/building/domains/domain-marketplace-platform.md|15|0
references/building/domains/domain-media-streaming.md|7|0
references/building/domains/domain-nonprofit-fundraising.md|6|0
references/building/domains/domain-project-management.md|6|0
references/building/domains/domain-real-estate-property.md|6|0
references/building/domains/domain-recruiting-ats.md|8|0
references/building/domains/domain-restaurant-food-service.md|6|0
references/building/domains/domain-saas-multitenant.md|8|0
references/building/domains/domain-sports-fitness.md|7|0
references/building/domains/domain-telecommunications-isp.md|5|0
references/building/domains/domain-travel-booking.md|6|0
references/building/domains/domain-workflow-automation.md|24|0
references/building/email-template-design.md|30|0
references/building/error-pages-and-offline.md|1032|0
references/building/expansion-and-scalability.md|112|0
references/building/file-management-and-uploads.md|1261|14
references/building/git-workflows.md|310|0
references/building/headers-and-navigation.md|429|1
references/building/information-architecture.md|3146|3
references/building/internationalization.md|21|0
references/building/licensing-legal.md|140|0
references/building/login-pages.md|188|0
references/building/marketing-and-landing-pages.md|27|0
references/building/migration-and-data-import.md|1444|12
references/building/monorepo-patterns.md|358|0
references/building/notifications-and-email.md|53|0
references/building/onboarding-dx.md|1019|0
references/building/payments-and-billing.md|43|0
references/building/performance-and-security.md|52|0
references/building/platform-bitbucket.md|112|0
references/building/platform-github.md|28|0
references/building/platform-gitlab.md|158|0
references/building/preflight-and-verification.md|54|0
references/building/project-profiles.md|4|0
references/building/quality-tooling.md|84|0
references/building/questioning.md|47|0
references/building/realtime-and-collaboration.md|20|0
references/building/registration-pages.md|331|0
references/building/repo-audit.md|16|0
references/building/repo-structure.md|19|0
references/building/reporting.md|28|0
references/building/security-deep-dive.md|19|0
references/building/security-setup.md|42|7
references/building/seo-and-web-standards.md|50|0
references/building/settings-and-configuration.md|293|0
references/building/social-media-features.md|1448|19
references/building/states-and-feedback.md|308|0
references/building/system-integration.md|12|0
references/building/technical-docs.md|38|0
references/building/testing-and-quality.md|138|0
references/building/ui-design-patterns.md|68|0
references/building/workflows-and-actions.md|111|1
references/shared/RESEARCH-2026-04.md|1|0
